title,company,location,time_opened,link,applications,experience_level,job_type,role,sectors,description
Desenvolvedor Java Júnior,Deloitte,"São Paulo, SP",Há 2 semanas,https://br.linkedin.com/jobs/view/desenvolvedor-java-j%C3%BAnior-at-deloitte-3826633381?position=36&pageNum=0&refId=1lmfgYW3Eg5SDa%2FL5LylTg%3D%3D&trackingId=80lY3%2B8FbyU%2BbBmwAIuMYQ%3D%3D&trk=public_jobs_jserp-result_search-card,Mais de 200 candidaturas,Assistente,Tempo integral,Engenharia e Tecnologia da informação,Atividades de consultoria em gestão empresarial,"DescriptionNa Deloitte, buscamos pessoas que queiram gerar impactos positivos todos os dias. Impulsionamos talentos para que possam se desenvolver em um ambiente colaborativo, com times diversos e que tragam energia, empoderamento, interação e conexões. O nosso crescimento é exponencial porque os talentos que recrutamos possuem os nossos valores em suas essências.Liderar o caminho, fomentar a inclusão, colaborar para mensurar impactos, servir com integridade e cuidar uns dos outros são pontos essenciais e inegociáveis para fortalecer ainda mais o nosso propósito.Você terá a oportunidade de evoluir sua carreira na maior organização de serviços profissionais do mundo atuando como Desenvolvedor Mulesoft no time da Consultoria Empresarial, em Core Business Operations, que busca incluir proposição de valor do time, de maneira incluir valores e traços comportamentais. Na sua rotina, você irá Interpretação e levantamento de requisitos para desenvolver serviços/integrações de Mule, integração e prática das melhores práticas de arquitetura MuleSoft. Implementação do desenvolvimento de múltiplos serviços de interface para conectar serviços web SOAP e REST internos e externos. Desenvolvimento, construção, implantação e teste de aplicativos/APIs Mulesoft (API de experiência, API de processo e APIs de sistema).Acreditamos na força dos talentos que preparamos. Eles transformam de fato, impactam organizações, impulsionam mais talentos e criam oportunidades. Que tal fazer parte da maior organização de serviços profissionais do mundo? Escolha seu impacto.RequirementsExperiência jr em Mulesoft ou interesse em desenvolver-se na atuação dessa plataformaBenefitsDesenvolvimento profissionalÉ claro que cuidaríamos do seu desenvolvimento aqui na Deloitte! Queremos que você alcance seus objetivos profissionais e pessoais e, por isso, contamos com Universidade Corporativa, acesso a plataformas online de aprendizado, plataforma de idiomas com mais de 7.500 conteúdos e cerca de 60 cursos divididos por nível, área de atuação, habilidades profissionais e interesses, e até uma plataforma que reúne diversas instituições de ensino, fornecendo descontos exclusivos para profissionais Deloitte e seus dependentes.Além disso, oferecemos um plano de carreira estruturado, com mentoria de profissionais da Deloitte por meio de um(a) coach, que poderá ouvir seus desafios e apoiar para que consiga evoluir tanto com habilidades técnicas, quanto com habilidades comportamentais com base na própria experiência. É ótimo ter uma pessoa mentora, não é mesmo?Cuidados com o seu bem-estarAqui na Deloitte, acreditamos que saúde e bem-estar não são apenas projetos, e sim uma mudança de cultura. Queremos que você coloque em prática todo o seu talento e desenvolva uma carreira de sucesso com a gente, com equilíbrio entre Mente, Corpo e Propósito. Para isso, contamos com mais de 30 benefícios, como: Serviço de telemedicina para que você consiga fazer uma pré-avaliação sem precisar sair de casa!Family Strategy: programa destinados à profissionais gestantes e futuros papais que terão todo apoio possível neste momento tão especialGympass para colocar os exercícios físicos em diaDia de folga no mês do seu aniversário, para celebrar uma das pessoas mais importantes de sua vidaCanal de apoio psicológicoe Serviço Social (Mais) BenefíciosAssistência médica e odontológica! Para que você faça check-ups e cuide de você, em primeiro lugar*Participação nos lucros. Afinal, sem os nossos talentos, não poderíamos crescer exponencialmenteAuxílio-internet, para apoiar no trabalho em modelo híbridoSeguro de vida*Vale refeição / alimentação*Pacote de benefícios flexíveis: você receberá pontos e poderá distribui-los entre as opções que melhor se adequam às suas necessidades de acordo com as regras do programa.Oportunidade de fazer parte de uma cultura inclusivaVocê pode ser quem realmente é com oportunidade igual de crescimento. Para reforçar esse compromisso, desenvolvemos a estratégia global ALL IN com os 8 pilares – Origens, Jovem Aprendiz, STEM, Delas, LGBT+, Inclui, No Borders e Geração 50+. Destacamos que todas as nossas vagas estão abertas ao público PcD. Esperamos você neste time!"
Desenvolvedor Back-end,H2 Club,"São Paulo, SP",Há 3 semanas,https://br.linkedin.com/jobs/view/desenvolvedor-back-end-at-h2-club-3814729225?position=38&pageNum=0&refId=1lmfgYW3Eg5SDa%2FL5LylTg%3D%3D&trackingId=%2FrCCIyL%2FmDno9FM1T1u8Mw%3D%3D&trk=public_jobs_jserp-result_search-card,Seja um dos 25 primeiros a se candidatar,Pleno-sênior,Tempo integral,Engenharia e Tecnologia da informação,Segurança de redes e computadores,"Se você é um Desenvolvedor Back-end talentoso e experiente, com habilidades em diversas tecnologias de servidor, bancos de dados e integração de API, apaixonado por criar lógica de servidor, gerenciar bancos de dados e desenvolver a parte funcional de aplicações, esta pode ser a oportunidade perfeita para você!Principais AtividadesConstruir e manter lógicas de servidor robustas e eficientes.Garantir desempenho, resposta e eficiência de integrações de banco de dados e outras operações back-end.Desenvolver e manter APIs de alto desempenho e trabalhar com integração de sistemas externos e internos, garantindo comunicação fluida entre o servidor e os aplicativos front-end.Trabalhar em conjunto com desenvolvedores front-end, designers e outros membros da equipe para traduzir requisitos de negócio em soluções técnicas robustas.Monitorar, manter e otimizar sistemas para garantir segurança e eficiência, além de implementar medidas de segurança e proteção de dados.Realizar testes para garantir resposta e estabilidade antes de lançamentos, além de identificar e corrigir falhas e gargalos em aplicações.Criar e manter documentação adequada para sistemas desenvolvidos, facilitando manutenções futuras e upgrades.Pré-requisitosHabilidades de comunicação eficaz e trabalho em equipe.Experiência comprovada em desenvolvimento back-end, com domínio em linguagens como Java, Python, Ruby, PHP, .Net ou outras relevantes.Experiência com sistemas de gerenciamento de banco de dados como SQL, NoSQL, MongoDB etc.Habilidade para criar e gerenciar APIs RESTful ou GraphQL.Conhecimento em práticas de segurança de aplicações e dados.Familiaridade com sistemas de controle de versão, como Git.Familiaridade com metodologias ágeis de desenvolvimento.Graduação em Ciência da Computação, Engenharia de Software ou áreas relacionadas será um diferencial. Ensino Superior CompletoVaga 100% Presencial na região de Pinheiros, São Paulo - SP.Contratação PJ"
Desenvolvedor Front-End,Pasquali Solution,"São Paulo, SP",Há 1 dia,https://br.linkedin.com/jobs/view/desenvolvedor-front-end-at-pasquali-solution-3836984236?position=39&pageNum=0&refId=1lmfgYW3Eg5SDa%2FL5LylTg%3D%3D&trackingId=JstUzfLNcZlBGWL9u%2BwiPA%3D%3D&trk=public_jobs_jserp-result_search-card,Seja um dos 25 primeiros a se candidatar,Assistente,Tempo integral,Engenharia e Tecnologia da informação,Atividades dos serviços de tecnologia da informação,"Requisitos ObrigatóriosTailwindcssExperiência com Nuxt, Next ou SvelteTypescriptDesenvolver aplicações em Sveltekit e Tailwindcss"
Bolsista Graduado [ÁREAS TECNOLOGICAS] KIMBERLY-CLARK BRASIL,IEL Paraná,"São Paulo, SP",Há 1 mês,https://br.linkedin.com/jobs/view/bolsista-graduado-%C3%A1reas-tecnologicas-kimberly-clark-brasil-at-iel-paran%C3%A1-3811597357?position=40&pageNum=0&refId=1lmfgYW3Eg5SDa%2FL5LylTg%3D%3D&trackingId=HFMsxswlGczwYb7fOLOIkg%3D%3D&trk=public_jobs_jserp-result_search-card,Seja um dos 25 primeiros a se candidatar,Assistente,Tempo integral,Outro,Fornecimento e gestão de recursos humanos,"DESCRIÇÃOProjeto de Inovação na empresa KIMBERLY-CLARK BRASIL em parceria com IPT.Oportunidade para Graduado em Engenharias, Ciências da Computação.Atividades Suporte para identificar, validar e priorizar novas áreas de oportunidade e casos denegócios; Suporte na execução e validação de protótipos de produtos e serviços; Suporte na estruturação do Pipeline de Produtos Digitais, junto as unidades de negócio da empresa; Execução de mapeamento de parceiros e de ecossistemas de inovação da América Latina einternacionais; Executar mapeamento de tendências globais de diferentes mercados para trazer insights e ajudar naconstrução de visão de futuro; Suporte para a criação de um banco de dados de parceiros para facilitar a conexão de demandasinternas e trazer soluções e oportunidades para a KC de forma mais ágil; Elaboração de relatórios e apresentações para diferentes times e liderança; Suporte nas sessões de ideação, Hackathons, de forma que ajude a fomentar os pipelines, entendermelhor os problemas internos, conectar pessoas e promover a cultura de inovação e digitalização naempresa.Conhecimentos Necessários Inglês Avançado pois terá contato com a área é global. Que já tenha conduzido ou participado do processo de criação de produto digital. Que tenha tido experiência com área inovação e desenvolvimento de produtos digitais. Conhecimento em IOT, IA, METAVERSO, BLOCKCHAIN, realidade aumentada e realidade virtual.Conhecimentos Desejáveis Experiência comprovada na área de inovação digital Ter experiência comprovada com design thinking, hackathons, conexão com startups. Ter experiência com VR/AR, Prototipação Virtual Conhecimento para fazer mapeamentos de tecnologias, tendências e de ecossistemas e parceiros;""Idiomas: Inglês Avançado.DISPONIBILIDADE: 40H SemanaisDURAÇÃO: 12 mesesVALOR DA BOLSA: R$ 3.500,00ATUAÇÃO: Híbrida (2x presencial)Conheça o INOVA TALENTOShttps://vimeo.com/676464243/165a0bf5f5https://vimeo.com/fabrikafilmes/review/680121344/b5b3c6e91dLocal de trabalho: São Paulo, SPRegime de contratação de tipo: OutrosJornada: Período IntegralÁrea e especialização profissional: Informática, TI, Telecomunicações - Programador / DesenvolvedorNível hierárquico: AnalistaREQUISITOSEscolaridade Mínima: Ensino Superior"
Desenvolvedor Web,URS Hunte-Weser e.V.,"São Paulo, SP",Há 6 horas,https://br.linkedin.com/jobs/view/desenvolvedor-web-at-urs-hunte-weser-e-v-3838220886?position=41&pageNum=0&refId=1lmfgYW3Eg5SDa%2FL5LylTg%3D%3D&trackingId=PCHKI25LcMKz3YpJD0xlSQ%3D%3D&trk=public_jobs_jserp-result_search-card,Seja um dos 25 primeiros a se candidatar,Assistente,Tempo integral,Engenharia e Tecnologia da informação,Atividades dos serviços de tecnologia da informação,"DESCRIÇÃOSuas Principais Atividades Desenvolvimento de projetos de websites , utilizando-se das ferramentas HTML e JavaScript; Plataformas de gerenciamento de conteúdo na web: Fatwire, Websphere Content Management, Web Publishing, padrões HTML e Internacionalização; Atuação em projetos de desenvolvimento / roll-out de Web Sites ; criação/gerenciamento de conteúdo; Usuário da ferramenta SharePoint;Experiência NecessáriaNecessária Programação: JavaScript, Java, HTML;Desejável atuação em produção de catálogo de produtos; plataformas de catálogo de dados/produtos;Formação superior/técnica completa na área de TI/Sistemas.Local de trabalho: São Paulo, SPRegime de contratação de tipo: Efetivo – CLTJornada: Período IntegralÁrea e especialização profissional: Informática, TI, Telecomunicações - Programador / DesenvolvedorNível hierárquico: EspecialistaREQUISITOSEscolaridade Mínima: Ensino SuperiorHABILIDADESHTMLSharePointWeb SitesWeb PublishingJavaScriptJavaWebsphere Content ManagementFatwireBENEFÍCIOSVale-alimentaçãoVale-refeiçãoAssistência odontológicaAssistência médicaTrabalho Remoto"
Analista Desenvolvedor de Sistemas Jr - Full Stack,Editora do Brasil,"São Paulo, SP",Há 6 dias,https://br.linkedin.com/jobs/view/analista-desenvolvedor-de-sistemas-jr-full-stack-at-editora-do-brasil-3832968254?position=42&pageNum=0&refId=1lmfgYW3Eg5SDa%2FL5LylTg%3D%3D&trackingId=pToo3NoUek%2FDM9BsBMzk6g%3D%3D&trk=public_jobs_jserp-result_search-card,Seja um dos 25 primeiros a se candidatar,Não aplicável,Tempo integral,Desenvolvimento de negócios e Vendas,Atividades de serviços pessoais,"Somos uma editora plural, com muita história para contar e que se orgulha de ter Brasil no próprio nome.Por isso, acima de tudo apostamos na parceria com profissionais de excelência e que compartilhem conosco a mesma paixão. Você também pode ser parte do nosso time e contribuir para o nosso propósito e missão.identificou? Quer transformar a educação conosco? Então #VemPraEditoradoBrasilResponsabilidades e atribuiçõesDesenvolver e implementar soluções tecnológicas para a empresa, através da realização de estudos de performance, planejando e programando projetos de sistemas e analisando as viabilidade técnica e econômica. Implementar projetos de novos aplicativos e melhorias nos sistemas existentesApoiar as áreas de negócios da empresa na análise de retorno sobre investimentos realizados na implantação dos projetosAplicar metodologia e padrões corporativos no desenvolvimento e manutenção de sistemas. Acompanhar a execução das atividades contratadas de terceiros, através de reuniões de acompanhamento de gerenciamento da rotina, identificando anomalias e elaborando plano de ação para solução das mesmas.Propor melhorias evolutivas nas metodologias tecnológicas utilizada e padrões de desenvolvimento de sistemas.Contribuir com a qualidade da solução tecnológica implementada, através do cumprimento dos processos de homologação previsto na metodologia de desenvolvimento de sistemas.Garantir maior eficiência nas operações dos clientes internos e externos.Fornecer orientação técnica para aplicações de programas e sistemas de software, planejando e programando projetos de sistemas.Garantir que todos os aspectos do projeto estejam apropriadamente endereçados e que as especificações estejam estabelecidas para a programação.Requisitos e qualificaçõesProcuramos quem tenha:Superior Completo em Sistemas da Informação ou na área de Tecnologia da Informação.Conhecimento e experiência com:C#DotNetNetCoreAPI Rest FullAngularJavaScriptComandos SQL (CRUD)Comandos GitHTMLCSSInformações adicionaisO que você encontra aqui:Salário compatível com o mercadoVale RefeiçãoVale AlimentaçãoVale TransportePlano de SaúdePlano OdontológicoSeguro de VidaDay off de aniversárioPLRDesconto em produtos da Editora do Brasil"
Desenvolvedor Fullstack,FOLKS,São Paulo e Região,Há 3 semanas,https://br.linkedin.com/jobs/view/desenvolvedor-fullstack-at-folks-3814767156?position=43&pageNum=0&refId=1lmfgYW3Eg5SDa%2FL5LylTg%3D%3D&trackingId=CNLOls22wtFH3Id9yGJlew%3D%3D&trk=public_jobs_jserp-result_search-card,Seja um dos 25 primeiros a se candidatar,Assistente,Tempo integral,Tecnologia da informação,Tecnologia da informação e serviços,"Venha fazer parte do time da FOLKS, Consultoria Healthtech especializada em transformação digital na saúde! Buscamos um Desenvolvedor SR para ampliar o núcleo de tecnologia interna da FOLKS, colaborando para aumentar ainda mais a qualidade de nossas entregas aos clientes.RESPONSABILIDADES E ATRIBUIÇÕESDesenvolver e implantar softwares e soluções para uso interno da equipe da FOLKS na execução dos projetos e demandas dos clientes;avaliar a metodologia de requisitos, avaliação e mapeamento de processos da FOLKS para sugerir melhorias e soluções para automatizar tais atividades;propor o uso de relatórios e dashboards, baseados em análise e inteligência de dados que contribuam na apresentação de resultados e análise de indicadores aos clientes.REQUISITOS E QUALIFICAÇÕESexperiência em desenvolvimento de softwares e plataformas de gestão de projetos ou atividades;experiência em planejamento e gestão de entregas;experiência em programação com JavaScript, Python, SQL e FlutterFlow;experiência com Github;proatividade e autogerenciamento;Diferenciais:Google Cloud Platform."
Analista de Produtos Jr.,PagBank,São Paulo e Região,Há 5 dias,https://br.linkedin.com/jobs/view/analista-de-produtos-jr-at-pagbank-3799834328?position=44&pageNum=0&refId=1lmfgYW3Eg5SDa%2FL5LylTg%3D%3D&trackingId=xFNJP3uxznN3rQ6q97Pfsw%3D%3D&trk=public_jobs_jserp-result_search-card,Mais de 200 candidaturas,Assistente,Tempo integral,"Pesquisa, Analista e Tecnologia da informação",Atividades de serviços financeiros,"Descrição da VagaNascemos para democratizar os serviços bancários e de pagamentos!Pioneirismo, tecnologia, inovação e resultados sustentáveis são constantes da nossa trajetória. Lançamos a primeira maquininha de cartão sem aluguel do Brasil e ao longo dos anos seguimos evoluindo para ampliar nosso ecossistema de soluções financeiras.Somos o 2º maior banco digital do país e a fintech mais rentável do segmento, resultado do trabalho de um time formado por pessoas talentosas e criativas, que atuam com dedicação, paixão e vontade de fazer acontecer.Se você ama tecnologia, curte um bom desafio e acredita no poder da colaboração para fazer grandes entregas, o Pags é pra você! Então, confira essa oportunidade e vem pintar o Brasil de amarelo com a gente💛!No PagBank todas as pessoas são bem-vindas 😊, sem distinção de gênero, orientação sexual, etnia, cultura, religião, deficiência etc. O importante é você gostar de desafios, trabalhar bem em equipe, vivenciar nossa cultura e nossa missão de transformar e democratizar os serviços bancários e de pagamentos no Brasil.#VemProPagsResponsibilities and assignmentsApoiar o time na construção do produto.Trabalhar nas necessidades dos clientes com foco no desenvolvimento de soluções para a experiência do desenvolvedor.Entender as dores dos usuários e conceber formas criativas de lidar com problemas de clientes, a fim de definir o roadmap do produto, mapear e desenhar as funcionalidades.Levantar requisitos de negócios para novas funcionalidades e descrevê-los de maneira clara para o time com foco no resultado esperado, trazendo contexto para o time.Organizar e manter a ferramenta Jira atualizada.Trabalhar com o time para idealizar, desenvolver, lançar e medir resultados do produto.Realizar a gestão do backlog, alinhado às necessidades dos usuários.Analisar métricas e resultados de testes para melhoria contínua do produto.Alinhar a evolução do desenvolvimento e lançamento de produtos e funcionalidades.Estudar novas ferramentas e inovações tecnológicas que possam trazer benefícios para o produto. Requirements And QualificationsSuperior em Administração, Economia ou áreas correlatas.Experiência com metodologias ágeis (Scrum, Kanban e Lean).Conhecimento em técnicas de Product Discovery e gestão de Product Backlog.Conhecimento nas ferramentas Miro e Jira. Pacote Office intermediário. Informações AdicionaisExperiência como Product Owner.SOBRE NÓSNascemos em 2006 para revolucionar o mercado de meios de pagamento e democratizar o acesso aos serviços financeiros.Foi com a gente que os consumidores passaram a comprar e vender – dentro e fora da internet – de forma rápida, simples e segura. Fizemos história lançando a 1ª maquininha de cartão sem aluguel, possibilitando as pessoas venderem mais e em qualquer lugar 💳.Em 2019 expandimos e criamos o nosso banco digital, reforçando a nossa crença no potencial transformador da tecnologia.Hoje somos um dos maiores bancos digitais do país e uma das fintechs mais rentáveis do segmento, resultado do trabalho de um time de mais de 7 mil profissionais.Aqui no Pags, a pesquisa e a inovação fazem parte do nosso DNA. Compartilhamos experiências com profissionais talentosos e criativos em um ambiente colaborativo, onde o aprendizado é garantido.Quer fazer parte dessa história? Confira nossas vagas e #VemProPags, o banco completo."
Desenvolvedor Web,RB Serviços,"Guarulhos, SP",Há 5 meses,https://br.linkedin.com/jobs/view/desenvolvedor-web-at-rb-servi%C3%A7os-3724847145?position=45&pageNum=0&refId=1lmfgYW3Eg5SDa%2FL5LylTg%3D%3D&trackingId=%2FEN%2B7Vjp7AD80i%2F%2BXbPN5Q%3D%3D&trk=public_jobs_jserp-result_search-card,Mais de 200 candidaturas,Assistente,Tempo integral,Engenharia e Tecnologia da informação,Serviços combinados para apoio a edifícios,"Job DescriptionDesenvolvedor Web﻿Nosso time é composto por pessoas especializadas na construção de produtos e soluções tecnológicas, capacitadas para desenhar a melhor abordagem e implementação para nossos clientes. Nossos profissionais atuam em todo o ciclo de vida da solução, desde o planejamento, design e dimensionamento das demandas, passando pela implementação, testes, até o monitoramento e manutenção no ambiente produtivo. Características predominantes da equipe: Equipe acolhedora, solidária, com foco no resultado.Responsibilities and assignmentsResponsabilidades Desenvolver soluções com alta entrega de valor; Fazer parte de um time de desenvolvimento; Criação e sugestão de novas funcionalidades; Dar manutenção no software já desenvolvido;Requirements And QualificationsRequisitos Superior completo (ou cursando) em: Sistemas de Informação, Engenharia da Computação ou similares Mais de 3 anos com desenvolvimento de sistemas nas linguagens relacionadas do “Perfil de Competências” Pós graduação/MBA será um diferencial;Perfil de Competências (técnicas e comportamentais): Ensino superior completo ou cursando na área de tecnologia; Sólidos conhecimentos em arquitetura de sistemas; Experiência com desenvolvimento ágil; Stack: PHP, Laravel, Javascript, MySQL, Solid e Clean Code Experiencia ou cursos de NodeJS, ReactNative, GoLang são diferenciais Gostamos de código, por isso o link do gitHub é muito bem-vindo! Boa comunicação verbal e escrita Proatividade Percepção de valor aguçada Auto gestão﻿Additional informationContratação: PJRemotoNosso negócioAtuando desde 1999 no mercado, a RB é uma empresa que oferece as melhores soluções para o gerenciamento de vale transporte, alimentação, refeição e combustível em todo território nacional.Promovemos a integração perfeita entre aquisição, distribuição e gerenciamento dos benefícios de cada colaborador de forma prática e eficiente.Há mais de duas décadas, a rb tem se dedicado ao setor de benefícios corporativos, ajudando empresas a otimizar seus programas de vale transporte e fornecendo soluções inovadoras com economia para simplificar a vida de nossos clientes e seus colaboradores. Com uma trajetória marcada por excelência e compromisso, estamos em constante crescimento e evolução, à procura de talentos que desejam fazer parte de nossa história!Quer fazer parte dessa rede? Venha nessa ;)"
Desenvolvedor C# Júnior,PWI Sistemas,São Paulo e Região,Há 2 semanas,https://br.linkedin.com/jobs/view/desenvolvedor-c%23-j%C3%BAnior-at-pwi-sistemas-3821536497?position=46&pageNum=0&refId=1lmfgYW3Eg5SDa%2FL5LylTg%3D%3D&trackingId=Qxvn%2BG1vYb%2Fl69PRLYHgQg%3D%3D&trk=public_jobs_jserp-result_search-card,Mais de 200 candidaturas,Assistente,Tempo integral,Engenharia e Tecnologia da informação,Serviços combinados para apoio a edifícios,NA
Desenvolvedor Back-End,Flora Energia,"São Paulo, SP",Há 2 meses,https://br.linkedin.com/jobs/view/desenvolvedor-back-end-at-flora-energia-3779917387?position=48&pageNum=0&refId=1lmfgYW3Eg5SDa%2FL5LylTg%3D%3D&trackingId=YXUDZddzh9jLAW08lLsFjg%3D%3D&trk=public_jobs_jserp-result_search-card,Mais de 200 candidaturas,Não aplicável,Tempo integral,Engenharia e Tecnologia da informação,Serviços para energia renovável,"QUEM SOMOSA Flora nasceu com o objetivo de tornar energia renovável uma realidade para todos os consumidores.Somos Uma Plataforma Que Atua No Mercado De Geração Distribuída - o ""mercado Livre"" Dos Pequenos Consumidores. Temos Uma Proposta De Valor Clara Para As Duas Pontas Da Nossa PlataformaPara os geradores de energia renovável, viabilizamos a atuação deles no mercado de varejo e consequentemente seus benefícios: maior escala, rentabilidade e pulverização de risco, sem a complexidade operacional associada à isso, uma vez que cuidamos de todo o processo desde a captação dos clientes até o dinheiro no caixa do geradorPara os consumidores de pequeno porte (residenciais e comerciais), oferecemos a liberdade de escolha. Ao viabilizar a atuação dos geradores de energia renovável nesse mercado, criamos uma nova maneira de consumir energia. Os consumidores podem escolher sua fonte de energia renovável e garantir um desconto em sua conta de luz sem nenhum contra partida: sem investimento, obras ou burocracia. De forma simples, acessível e 100% digital, contratam e acompanham nossa solução e seus benefícios diretamente em sua área do cliente em nossa plataformaATIVIDADES A SEREM DESENVOLVIDASDesenvolvimento de código escalável e reutilizávelRevisão e manutenção de softwarePlanejar a arquitetura do softwareExecução das práticas de clean codeIdentificação e antecipação de bugsDesenvolver e implementar APIsPERFIL QUE BUSCAMOSResilienteOrganizadoProativoComunicativoInteressadoMão na massaPré-requisitosExperiência prévia com banco de dados relacionalExperiência prévia com JavaScriptDisponibilidade para trabalho de tempo integralExperiência prévia com metodologia ágilDIFERENCIAISExperiência prévia com Node.jsExperiência prévia com React.jsExperiência prévia com JiraExperiência prévia com ServerlessExperiência prévia com programação orientada a eventosINFORMAÇÕES ADICIONAISCartão Flash - Cartão de Benefícios flexíveis (considerando valor: VR/VA, VT e Plano de Saúde)TotalPassHorário de Trabalho flexívelFlora Educa - Programa de Incentivo à EducaçãoRemuneração Variável (trimestralmente)Flora Energia - Desconto na sua conta de luz e acesso à energia limpa (disponível apenas em algumas regiões)"
Desenvolvedor / Programador Node.JS,Pasquali Solution,"São Paulo, SP",Há 2 meses,https://br.linkedin.com/jobs/view/desenvolvedor-programador-node-js-at-pasquali-solution-3800430931?position=49&pageNum=0&refId=1lmfgYW3Eg5SDa%2FL5LylTg%3D%3D&trackingId=aoNKlVa025KUXtLBu%2BIuSA%3D%3D&trk=public_jobs_jserp-result_search-card,Seja um dos 25 primeiros a se candidatar,Assistente,Tempo integral,Engenharia e Tecnologia da informação,Atividades dos serviços de tecnologia da informação,"Requisitos ObrigatóriosTypescriptJavascriptNode.JSMongo DBMy SQLArquitetura de MicrosserviçosConhecimento Linux Requisitos Desejáveis:Aplicação em ambientes em tempo real.Sistemas AssíncronosProgramação de orientada a objetosEscrita de teste unitário, criação e manutençãoDevops (CI/CD)Criação de sistema que processa alta quantidade de dados.Padrões de projetos.Gestão de desenvolvimento.Criação de bibliotecas."
Desenvolvedor Web Full Stack,HF CONSULTING - Homologada TOTVS,São Paulo e Região,Há 1 mês,https://br.linkedin.com/jobs/view/desenvolvedor-web-full-stack-at-hf-consulting-homologada-totvs-3802936037?position=50&pageNum=0&refId=1lmfgYW3Eg5SDa%2FL5LylTg%3D%3D&trackingId=T%2BC7kKnobuR1pl1UxFDkuw%3D%3D&trk=public_jobs_jserp-result_search-card,Seja um dos 25 primeiros a se candidatar,Assistente,Tempo integral,Engenharia e Tecnologia da informação,Treinamento e suporte em tecnologia da informação,"Experiência de pelo menos 4 anos em desenvolvimento em C# com bootstrap, javascript, SQLSERVER, HTML5, Frameworks e muitas APIs. Ter uma vivencia em desenvolvimento de integração junto a SEFAZ ou prefeituras para baixa de notas(xmls) tomadas contra a empresa . Objetivo de continuar desenvolvimento de melhorias em softwares WEB de propriedade da HFCONSULTING. Trabalho presencial em São Paulo - Barra funda enviar currículo para rh@hfbr.com.br Experiência de 4 anos em desenvolvimento em C# com bootstrap, javascript, SQLSERVER, HTML5, Frameworks e muitas APIs. Integração com SEFAZ para baixa de notas fiscais formato xml via API."
Desenvolvedor,VIARH Soluções em Recursos Humanos,São Paulo e Região,Há 1 semana,https://br.linkedin.com/jobs/view/desenvolvedor-at-viarh-solu%C3%A7%C3%B5es-em-recursos-humanos-3827242522?position=51&pageNum=0&refId=1lmfgYW3Eg5SDa%2FL5LylTg%3D%3D&trackingId=%2BzzxSjwuVG1zgvzTGcOHnw%3D%3D&trk=public_jobs_jserp-result_search-card,Seja um dos 25 primeiros a se candidatar,Assistente,Tempo integral,Engenharia e Tecnologia da informação,"Tecnologia, Informação e Internet",Vaga remoto para trabalhar com react (front-End).experiência em desenvolvimento com react e html.Css.Javascript.
Desenvolvedor / Programador Node.JS,Pasquali Solution,"São Paulo, SP",Há 2 semanas,https://br.linkedin.com/jobs/view/desenvolvedor-programador-node-js-at-pasquali-solution-3825207041?position=52&pageNum=0&refId=1lmfgYW3Eg5SDa%2FL5LylTg%3D%3D&trackingId=Ddu%2FGpxhezpK5TO8RuAk4g%3D%3D&trk=public_jobs_jserp-result_search-card,Seja um dos 25 primeiros a se candidatar,Assistente,Tempo integral,Engenharia e Tecnologia da informação,Atividades dos serviços de tecnologia da informação,"Requisitos ObrigatóriosExperiência em desenvolvimento de software, Node.js, java ou kotlin.Conhecimento em sistemas de cartão de crédito e regulamentações.Experiência comprovada em operações de cartão de crédito é um requisito essencial.Experiência em design de APIs e microserviços.Habilidades em bancos de dados e metodologias ágeis.Boas habilidades de comunicação e trabalho em equipe."
Desenvolvedor,Pacto Soluções,São Paulo e Região,Há 1 semana,https://br.linkedin.com/jobs/view/desenvolvedor-at-pacto-solu%C3%A7%C3%B5es-tecnol%C3%B3gicas-ltda-3823768495?position=53&pageNum=0&refId=1lmfgYW3Eg5SDa%2FL5LylTg%3D%3D&trackingId=BuREVM%2FfYa2m9rGPDpCgjQ%3D%3D&trk=public_jobs_jserp-result_search-card,Seja um dos 25 primeiros a se candidatar,Assistente,Tempo integral,Engenharia e Tecnologia da informação,"Tecnologia, Informação e Internet","Como desenvolvedor front-End pleno você irá trabalhar na criação e manutenção de sites, aplicativos e sistemas web, utilizando principalmente as linguagens html.Css e javascript, dominando o desenvolvimento responsivo e ter experiência em ux.Sabe trabalhar em equipe, é organizado, metódico e está sempre antenado às novas tendências do mercado."
Desenvolvedor,MPJ Solutions,São Paulo e Região,Há 1 semana,https://br.linkedin.com/jobs/view/desenvolvedor-at-mpj-solutions-3823794195?position=54&pageNum=0&refId=1lmfgYW3Eg5SDa%2FL5LylTg%3D%3D&trackingId=NsJNNwKKe39XrG5niVaqsg%3D%3D&trk=public_jobs_jserp-result_search-card,Seja um dos 25 primeiros a se candidatar,Assistente,Tempo integral,Engenharia e Tecnologia da informação,"Tecnologia, Informação e Internet",Vaga para desenvolvedor de software que atua com ruby e está em busca de um novo desafio profissional junto a um time inovador que desenvolve produtos de alta qualidade e está em constante crescimento.
